latitude,longitude,date,hour,day_of_week,month,is_weekend,is_night,road_type,road_type_enc,speed_limit,junction,traffic_density,weather_condition,weather_enc,temperature,precipitation,wind_speed,visibility,severity
13.031663531925616,80.27171958398228,2022-04-05,16,1,4,0,0,Urban Road,1,56,0,0.4,Storm,4,29.5,46.9,11.9,1.7,2
13.072388490445402,80.275125009409,2024-08-30,1,4,8,0,1,Residential,2,26,1,0.15,Cloudy,1,28.3,0.0,7.9,11.4,1
13.052452791339151,80.17856985203609,2024-10-07,17,0,10,0,0,Highway,0,73,1,0.65,Clear,0,25.7,0.0,15.7,11.3,1
13.054017851219662,80.16541388351254,2023-04-22,19,5,4,1,0,Highway,0,82,0,0.9,Clear,0,32.5,0.0,13.3,10.4,0
13.037674732661502,80.21374823919058,2023-03-01,0,2,3,0,1,Residential,2,31,0,0.15,Clear,0,25.5,0.0,17.8,5.6,0
12.966051778488026,80.23029571057508,2022-02-03,6,3,2,0,0,Urban Road,1,46,0,0.4,Rain,2,24.5,0.3,15.0,5.3,1
13.1420568887072,80.20574335384121,2024-06-10,2,0,6,0,1,Urban Road,1,55,1,0.15,Rain,2,30.9,2.3,12.1,6.0,2
12.954234650330923,80.20412760465175,2023-02-01,8,2,2,0,0,Residential,2,35,1,0.9,Fog,3,25.4,0.0,9.7,2.5,2
13.160083697649489,80.18937215492168,2024-09-15,17,6,9,1,0,Residential,2,31,0,0.65,Cloudy,1,26.6,0.0,3.3,9.1,1
12.973751307619477,80.22263996020766,2022-04-03,4,6,4,1,1,Highway,0,72,0,0.15,Clear,0,30.4,0.0,20.8,6.6,1
12.989050324465968,80.20841305102552,2022-01-25,11,1,1,0,0,Urban Road,1,32,1,0.4,Clear,0,37.0,0.0,29.5,9.8,0
13.045810509363003,80.18619176276945,2023-04-26,0,2,4,0,1,Highway,0,82,0,0.15,Clear,0,24.9,0.0,2.0,8.0,1
12.957380674802996,80.20841859885321,2024-09-30,3,0,9,0,1,Rural Road,3,63,0,0.15,Clear,0,25.7,0.0,17.0,7.2,0
12.949382345274605,80.10898212387846,2022-11-24,10,3,11,0,0,Urban Road,1,60,0,0.65,Fog,3,35.3,0.0,13.0,1.4,0
13.05264507726154,80.19182907190395,2023-02-21,6,1,2,0,0,Highway,0,91,0,0.4,Clear,0,35.6,0.0,22.3,8.6,1
13.055219921536269,80.16866473852569,2023-07-01,12,5,7,1,0,Highway,0,79,0,0.4,Clear,0,34.6,0.0,12.5,10.3,0
13.078690518711591,80.28169083050828,2022-04-03,17,6,4,1,0,Urban Road,1,54,0,0.65,Clear,0,31.0,0.0,9.1,8.3,0
12.907457847415877,80.21103960846536,2022-05-24,3,1,5,0,1,Urban Road,1,43,0,0.15,Clear,0,29.4,0.0,13.4,12.0,0
12.905351035193096,80.12182879935314,2022-11-12,19,5,11,1,0,Urban Road,1,58,0,0.9,Clear,0,28.3,0.0,5.6,7.9,0
12.997150965344341,80.2045509290247,2024-12-25,17,2,12,0,0,Residential,2,22,1,0.65,Clear,0,24.3,0.0,9.8,9.7,0
